t,x_true,y_true,psi_true,x_dr,y_dr,psi_dr,x_pf,y_pf,psi_pf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011013696086847548,-0.015713463921696796,0.004809720036239446
1.0,0.7556009258747322,0.018924259017058576,0.05578721063605263,0.7421825594145659,0.01840737531596324,0.057679519469616025,0.7636046364904104,-0.04378585913342858,0.0509761610381686
2.0,1.521986215987114,0.0816109378893951,0.11331984390525916,1.519356131777018,0.08172147670312582,0.11032220599398011,1.5310735875470451,-0.00033769687628513025,0.10125966976656024
3.0,2.296165923075337,0.1906518279654023,0.1725854949711496,2.2986516309190446,0.1878967985735446,0.1656524893950424,2.3471889620962263,0.304437180209117,0.20793145189141457
4.0,3.074649489956206,0.34842813481345475,0.23356327067696367,3.082921902689621,0.33770579603651374,0.21954662592982377,3.0897733521135424,0.36802724946599086,0.24043424060026208
5.0,3.8534616838947056,0.557025351246452,0.29622389188032194,3.8763794682176376,0.5382032624789458,0.27783361574590115,3.818281202765101,0.3989821241216376,0.2772555319111388
6.0,4.628173363109354,0.8181474142346135,0.36052983686245194,4.653285341882454,0.7843082657150288,0.34077694890647514,4.7150776585336285,0.874005534298471,0.34621776955383715
7.0,5.393947739832929,1.133032983644931,0.4264355251095444,5.425302193311556,1.0845910790998952,0.4035353835085429,5.547239876228179,1.258697987459727,0.405067571410362
8.0,6.145602248059469,1.5023769350615837,0.49388754056609047,6.177848070388628,1.4339447872281927,0.47508083296929143,6.216991002034745,1.531669424810403,0.4821046122117724
9.0,6.877685485331038,1.9262602932315889,0.5628248932666913,6.912815011547621,1.8430549221325891,0.547158073132473,6.9011027768990285,1.9184107040242564,0.5589731027009204
10.0,7.584568003380741,2.4040918220589487,0.6331793180648786,7.607375631828339,2.2968284012935216,0.6181251759502482,7.469653785703485,2.3416478611091405,0.6452576578975411
11.0,8.26054500664,2.934564312933924,0.7048756089957697,8.285805607519377,2.810960484934324,0.6858037568900626,8.252949430879365,2.8852067942197865,0.6969679543710253
12.0,8.899948321229092,3.5156282656308857,0.7778319876348427,8.93700729325773,3.377553198631133,0.7539092554155671,8.840791932906303,3.468328639943183,0.7736348457292314
13.0,9.497264364628808,4.144485135868337,0.8519605036486189,9.550043750614595,3.994652588497288,0.8328101338098408,9.477236071050386,4.092779076257133,0.8482176737579123
14.0,10.047254323157864,4.817601643823448,0.9271674655753532,10.119832964196016,4.66285396199646,0.9011978375989615,10.040749894442053,4.770977901297817,0.9163020922201115
