time_s,node,truth_x_m,truth_y_m,imu_x_m,imu_y_m,full_x_m,full_y_m,imu_position_error_m,full_position_error_m,full_position_sigma_radial_m
0.0,1,3.9326264676162532,0.5977525298943969,3.9326264676162532,0.5977525298943969,3.9326264676162532,0.5977525298943969,0.0,0.0,0.01414213562373095
0.0,2,0.1537401395025908,5.012835646874592,0.1537401395025908,5.012835646874592,0.1537401395025908,5.012835646874592,0.0,0.0,0.01414213562373095
0.0,3,-2.9470917115432527,-4.1520682726985685,-2.9470917115432527,-4.1520682726985685,-2.9470917115432527,-4.1520682726985685,0.0,0.0,0.01414213562373095
0.0,4,8.005121620561171,-1.5101657699586521,8.005121620561171,-1.5101657699586521,8.005121620561171,-1.5101657699586521,0.0,0.0,0.01414213562373095
0.1,1,3.921359645221001,0.6454972078253496,3.9220568880248194,0.6479912728530589,3.9233607957714436,0.6462021288052853,0.0025896926246022855,0.0021216779005048345,0.015710680109171295
0.1,2,0.20188336887619052,5.0343731099630515,0.20702698905316708,5.042863372881768,0.20639510576112327,5.041221967987753,0.009926801748495253,0.00820137951575121,0.01571084651788297
0.1,3,-2.898759191833838,-4.107824115235004,-2.899988252818259,-4.110815899233001,-2.8974575804263702,-4.108256023832035,0.003234402942444929,0.00137139975654042,0.015711086291000802
0.1,4,8.030893861824088,-1.5501124859099078,8.033472242596286,-1.549455467640191,8.030269545709158,-1.5485847941365811,0.0026607744010305493,0.0016503371672634839,0.015711136136683176
0.2,1,3.909228314450303,0.6931476442685484,3.9106535148471573,0.6981123763399938,3.9131484362769746,0.6949358546844495,0.0051652454648770515,0.004308718095615671,0.019691469152153196
0.2,2,0.2503665923966847,5.0555418718024585,0.26067485976924315,5.072429162187082,0.2592941081833566,5.068372561231355,0.019784866761207987,0.01563096699958347,0.019692773733156716
0.2,3,-2.850218451781967,-4.062655396450259,-2.8526967906768608,-4.0686874088168254,-2.84935814664133,-4.063478681562978,0.006521298710253772,0.0011907658509683603,0.01969452795659685
0.2,4,8.056373979228269,-1.591003680133586,8.061507378256065,-1.5897005692219845,8.057054563891514,-1.5876761742320669,0.005296214084279081,0.0033963938241154167,0.019694912061473547
0.3,1,3.896234246457693,0.7406968823418131,3.8984693510659834,0.7480161145377565,3.896964291386655,0.7458877595778209,0.007652898310322388,0.005241962616960125,0.02475977573091731
0.3,2,0.2991839189543075,5.076339360214429,0.3147105345013336,5.101612751847666,0.3099837063625035,5.094017177325087,0.029661761832233447,0.020715709639307748,0.024765868028567194
0.3,3,-2.8014748144267916,-4.016581928837233,-2.8052370531651816,-4.025601242213114,-2.797946366669479,-4.0144529121703245,0.009772535704564635,0.004121001764627242,0.024773429427869264
0.3,4,8.081559516946967,-1.6328235882959148,8.089226005207363,-1.6308542222827267,8.088167209616586,-1.6322786243575969,0.007915392898693724,0.006630127307238918,0.024775219226510905
0.4,1,3.8823793383548626,0.7881379799377523,3.88552617069331,0.797709352772014,3.889443437685216,0.7897036959143905,0.010075402309523137,0.007235534940044198,0.030112514883805952
0.4,2,0.3483294168430251,5.096763048133344,0.3690642209547861,5.130370818303581,0.3645223326353658,5.119126932247266,0.039489420322013115,0.027610755775942998,0.0301340685229457
0.4,3,-2.7525336250574384,-3.969623921741563,-2.757660895271804,-3.981639700268063,-2.747510779307993,-3.9663501692409087,0.01306398995135171,0.005995534576521312,0.030158467461532792
0.4,4,8.106448047545637,-1.6755560880262172,8.116653935180297,-1.6730017872260208,8.107128433389178,-1.669041781305456,0.010520674645154205,0.006549741746683221,0.030164592633633035
0.5,1,3.867665612934685,0.835464010737299,3.8717018098736955,0.8473123324821792,3.8711988277294234,0.8321809012242104,0.012516933086849919,0.004823112569771904,0.03533846474168278
0.5,2,0.39779711448129795,5.116810453913417,0.423699598746082,5.158641546051285,0.41267157453801834,5.151396992334552,0.049201412180284024,0.0376494117076965,0.03539961301527606
0.5,3,-2.7034002506268386,-3.9218019724971374,-2.7098297059760723,-3.9368956696132584,-2.694049395924197,-3.915319009282468,0.016406022940401832,0.011378369642117905,0.035462110950099573
0.5,4,8.131037172215898,-1.7191847051323985,8.14375838594044,-1.7160674589722071,8.13950909988021,-1.7152681613523533,0.013097576197477433,0.009333427748171683,0.035478848860989294
0.6,1,3.8520952183758954,0.8826680652209422,3.8568946594547633,0.89674295241122,3.851901696770272,0.8798057222355524,0.01487067866940078,0.0028688774769678135,0.040237492487771316
0.6,2,0.4475810011376664,5.136479141630231,0.47859683627226507,5.186562058618931,0.47006051265436677,5.177436214337009,0.058909087611281934,0.04672055482052593,0.040383077497463615
0.6,3,-2.6540800791631813,-3.8731370573914266,-2.661750560336911,-3.8913028842381148,-2.642282674761951,-3.8674575555458133,0.019718862707073192,0.013093337688324302,0.04051562749923671
0.6,4,8.155324521006735,-1.7636926199520566,8.170565513433436,-1.7599845992811591,8.164626939395244,-1.7577668848249461,0.015685575139170568,0.01102947526728046,0.04055238647635017
0.7000000000000001,1,3.8356704279294522,0.9297432516775034,3.841159960304887,0.9460064788992227,3.839702133551195,0.9220558184443305,0.017164717456638175,0.00868051150191524,0.04473356612097975
0.7000000000000001,2,0.4976750276611086,5.15576672137672,0.5338628604476738,5.214133052409588,0.516159822580406,5.210712099719752,0.06867450647821761,0.05797139160368129,0.04503367658212141
0.7000000000000001,3,-2.6045785191790563,-3.823650522464584,-2.613513640949983,-3.8447938383567406,-2.5942687316837394,-3.8170463641857406,0.02295378417553019,0.01224363609270567,0.045275088646435854
0.7000000000000001,4,8.179307753052921,-1.8090626738367797,8.197063779357071,-1.8047534961883596,8.19697979875319,-1.8051294386317713,0.01827143897232291,0.01810446183708121,0.04534268291987837
0.8,1,3.818393639586657,0.9766826972103163,3.8245525618287814,0.995094592711459,3.8176807071020296,0.9666507181784281,0.019414690806951653,0.010057279752690693,0.04882537975339295
0.8,2,0.5480731072160681,5.174670849553571,0.5894487678838557,5.241346535684655,0.5591898270568232,5.241737141504523,0.0784703282569066,0.0679813869825275,0.04937507418368584
0.8,3,-2.554900999078346,-3.7733640741463756,-2.5651958735379075,-3.797445542220813,-2.5394613623095763,-3.7595124033799117,0.026189722120676936,0.02074249663309726,0.04976304616990852
0.8,4,8.202984556800635,-1.855277375767138,8.223242220785817,-1.8503095061894974,8.234638711688108,-1.860189537001525,0.02085791644141381,0.03203302748153465,0.049873344121444764
