time_s,imu_mean_fleet_error_m,imu_p95_fleet_error_m,full_mean_fleet_error_m,full_p95_fleet_error_m,imu_mean_centroid_error_m,full_mean_centroid_error_m,imu_mean_relative_shape_error_m,full_mean_relative_shape_error_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0066034157962358425,0.009453055944051034,0.00660587462600478,0.009280034150485412,0.003061288106177654,0.003061288110040807,0.005726573085649297,0.005702709411408611
0.2,0.013202324073346528,0.018893783702883766,0.01325979416817897,0.018264726970808852,0.006120173221100134,0.00612017321481158,0.011450372632698918,0.011501636552762274
0.3,0.019798875382779392,0.028329924129402266,0.019367040322813143,0.0287632988804139,0.009175484004831208,0.009175484083370761,0.017171147064775204,0.016659699420653405
0.4,0.026382800265920648,0.03773168559961134,0.024283728348657514,0.035787093032730706,0.01222409275117722,0.01222409237143346,0.02288114440118734,0.020497915959488928
0.5,0.03296519544607769,0.047138581763391016,0.030124386614590947,0.04405983227695411,0.015272467887047924,0.015272466971281502,0.028589883537177747,0.02537857488697076
0.6,0.039560125750333866,0.056535533288927645,0.035018558865077286,0.04963322882824605,0.018326249318979627,0.018326247553923883,0.034309948501142384,0.028969427446513884
0.7000000000000001,0.046154067764965265,0.06597086656687368,0.04086898860987396,0.05942332174057466,0.02137509202582368,0.021375085306787563,0.040030810583792764,0.03384913283716755
0.8,0.052747772107421306,0.07543578520189469,0.04606017236632639,0.06625000732353144,0.0244177220345679,0.024417717486922022,0.045754780443174714,0.03786477356832963
0.9,0.0593467910603261,0.08487995097610287,0.05004516454900806,0.07203562494318293,0.02745870745174635,0.0274587013373628,0.051484848460593494,0.040462945100621525
1.0,0.06593835813068001,0.09432963475265924,0.05539742334007741,0.07861522351164864,0.030499386051526543,0.030499382836215384,0.05720753207399494,0.04492296386926321
1.1,0.07252956704455628,0.10375395174372339,0.05817259353296215,0.08545449091900767,0.03353849017188486,0.03353847681120308,0.06293087876815648,0.04590613855814253
1.2,0.07911770826982513,0.11314525344201268,0.06198732616821343,0.09022292542871019,0.036580623078036015,0.036580602767464276,0.0686487446852301,0.048158202060527414
1.3,0.08571097870386031,0.1225254040750536,0.06488916162821354,0.09777916759021292,0.03962530558666135,0.039625258324678704,0.07437023518812,0.049377031153784764
1.4000000000000001,0.09230643742688616,0.13191205657949467,0.06992961624427986,0.10492457434595465,0.042679049537089134,0.04267899392055194,0.0800889011138636,0.05291070720495507
1.5,0.09889373478298943,0.1412887875218719,0.07328564172310924,0.11261208840411811,0.045741154900865215,0.045741104285215904,0.085794268172068,0.05451195440891038
1.6,0.10547763227265686,0.15067694584372532,0.07771725447769269,0.11786123411764586,0.048805832137719087,0.04880579255585972,0.09149384327828432,0.05718202762366307
1.7,0.11206320575861695,0.16007745161832773,0.08081392590908414,0.12278731103332338,0.05186944910763216,0.051869400917502174,0.09719445617438811,0.058439128315762326
1.8,0.11864748547668669,0.16948867391432546,0.08322045748416436,0.13245071637372163,0.05492837951893831,0.05492834693410379,0.10289782777035887,0.05828740663652758
1.9000000000000001,0.12522628235259498,0.1789220025661364,0.08719847969504606,0.13760968805499615,0.05798082344653803,0.057980875029233436,0.10859914499958156,0.06055496888202265
2.0,0.13180462702024112,0.1883860536014198,0.09014188750567931,0.14171598240078906,0.06102646704510232,0.06102655776538857,0.1143038354543924,0.06165799301916203
2.1,0.13838473957021685,0.19788616751032517,0.09458750069450164,0.14338216620841165,0.06407625490920948,0.06407633907482073,0.12000761112028499,0.0646425471420283
2.2,0.1449660507346136,0.2073892827446754,0.09731287829519972,0.14597485656010173,0.06713019707226645,0.06713015822642232,0.12570909323238683,0.06531647126582033
2.3000000000000003,0.15154151357401766,0.2168614821414279,0.09952860418795019,0.15182382337858635,0.07017230598119575,0.0701723339642464,0.13140872032923304,0.06476051884540028
2.4,0.15811185797525576,0.22634181678082885,0.1023136087486695,0.15877001969189297,0.07321054863553872,0.0732104982862469,0.13710572182609548,0.06514572834179064
2.5,0.16467726649758813,0.23582381550128137,0.1060223581629812,0.1669354774085081,0.07624839542233044,0.07624839365819577,0.14279928462538566,0.0665597180305064
2.6,0.17123777307193752,0.24529244602474737,0.10949236031895045,0.17677620496659424,0.07928395341927072,0.07928384862954507,0.14849041204056318,0.06772237000135779
2.7,0.17780568602785132,0.2547392132863027,0.11257257367718565,0.17748781795881918,0.08232325753157307,0.08232319443201236,0.1541894176447994,0.06834150826646801
2.8000000000000003,0.18438156735166863,0.26420496453006836,0.11578913019570554,0.18569087818271104,0.08536517666962623,0.08536518411642098,0.15989528693552532,0.07004257226125218
2.9,0.19094842940370904,0.273672496381749,0.11765286160335339,0.1987344870240835,0.08839492666631195,0.08839472418771384,0.16559672579400592,0.06964335378211316
3.0,0.19751665436017007,0.2831275219809843,0.12065375507860802,0.19919118648203638,0.09143167667302317,0.09143169850531153,0.17129670835258537,0.06999070391239803
3.1,0.20409079148787881,0.292634257234099,0.12312448192773347,0.20239409158525365,0.09447254305351002,0.09447282678173977,0.17700055811777182,0.07033257555916184
3.2,0.21066713373034948,0.3021573092822132,0.1247644030760661,0.20290337460721097,0.09751185364917643,0.09751229943832389,0.18270723357872115,0.06925604369161265
3.3000000000000003,0.21725610541329016,0.3116768626516216,0.12721910541939876,0.20321133654172394,0.10055926448888024,0.10055975379780928,0.18842241956737077,0.0685082272069564
3.4,0.2238416378621709,0.3212069632806653,0.1320067573946146,0.20609349158393556,0.10360498621748146,0.10360567002095797,0.19413482780023478,0.07214024010204179
3.5,0.23042536194422114,0.33072785156479595,0.13566028039102104,0.20586398730133487,0.10664723081165979,0.10664788303586911,0.19984705936724956,0.07292591563845763
3.6,0.23700756338619774,0.34023752092868353,0.1399909560461991,0.20381692659286982,0.10968752008593104,0.10968833302470749,0.2055591282759876,0.07542606563220493
3.7,0.24359556107219768,0.34974362050223634,0.14476283813851726,0.22235136285373072,0.11273606252334087,0.11273729738179523,0.21127278158205282,0.07815229709824384
3.8000000000000003,0.2501866450701226,0.359224471937991,0.1481678192281395,0.23496699696545437,0.11578599560059873,0.11578755371274027,0.21698929794387842,0.07947518786968277
3.9,0.2567731579281812,0.3686689427573198,0.15089574626655805,0.238673490347183,0.11884547694284849,0.11884777833356128,0.22269613859807866,0.0802901199742294
4.0,0.26335829445430525,0.37811277648565217,0.15549153913825128,0.25959015528250545,0.12190501725933359,0.12190786151147956,0.22840128173485544,0.08497277634175715
4.1,0.2699316885312497,0.38756503471466525,0.15428306600635672,0.26228581339567697,0.12496930536453572,0.12497230539850901,0.23409115129742403,0.08018905499119863
4.2,0.2764960337611533,0.3969938178340545,0.15431508712259234,0.2736016275245107,0.1280386332263591,0.1280423301760567,0.23976909393519205,0.07681766240792214
4.3,0.2830662685588267,0.4064079525066968,0.15922606918384222,0.2774106960610009,0.13111422497402322,0.13111665055731414,0.24545005373412473,0.08174841226889047
4.4,0.28964291152508337,0.41582317023482873,0.16095486866036085,0.28011580219263765,0.13419178441581187,0.13419374268128692,0.251135485839359,0.08020187231100526
4.5,0.2962152729677189,0.42523378333524137,0.16107791406632133,0.26675451602186656,0.1372686654133854,0.13727189743434898,0.25681703092979313,0.07548565155995832
4.6000000000000005,0.3027873484493966,0.43459882903522234,0.16166835246518807,0.2558915563205656,0.14035244480372303,0.140356031053618,0.26249538394767613,0.07209412796850759
4.7,0.30936498994185746,0.4439450679887266,0.1626474802669203,0.2574743602218448,0.1434464122786671,0.1434507067965091,0.2681750631364234,0.06873973095206762
4.8,0.31594770521109866,0.45331828657579964,0.1666023799678597,0.25224468241638215,0.14654464011393448,0.14654849242331067,0.2738581649138817,0.069398049543375
4.9,0.3225288480735541,0.46268352707969074,0.16833755657896549,0.25372963178028035,0.1496332214389329,0.14963757330608513,0.27954243831350767,0.06749926278548811
5.0,0.3291107192678698,0.47201117554087607,0.17189379202658822,0.25482905879978496,0.1527140750541853,0.15271962083152893,0.285230677288198,0.0685572625640932
5.1000000000000005,0.3356856509937912,0.48133631337211075,0.17469083785163889,0.254512785449268,0.15579177445359677,0.15579667707115438,0.2909142916628905,0.0680480314888872
5.2,0.34226674497852655,0.490668563428763,0.17843674431132373,0.2629289644157095,0.15886710167482226,0.15887074153887434,0.29660824063316277,0.06948130664803084
5.3,0.3488568950790638,0.5000416632661266,0.17977718781160906,0.2670852134550031,0.1619371520410532,0.1619421243259595,0.30231349533010815,0.06683151349322577
5.4,0.3554533119501143,0.5094070333286509,0.18206823240949582,0.2747151470023593,0.16500721471062446,0.1650128522403139,0.3080243325735488,0.06506605529285629
5.5,0.36204394298878245,0.5187870588648725,0.18896084327837562,0.2773790466319107,0.16807187979499238,0.16807695732551922,0.31373278502921464,0.07280875786025501
5.6000000000000005,0.36862445973760766,0.5281987501805172,0.19017370257737165,0.2755559116958338,0.17113351255698922,0.17113956051606993,0.31943259690234366,0.07054015618812161
5.7,0.3752015305187683,0.5376444903852214,0.1948092742314253,0.28209150965168395,0.17419055103043754,0.17419613141292603,0.32513089235615134,0.0727922771490808
5.8,0.38177957443620725,0.5471184381351122,0.1965638522829159,0.2830691875803959,0.17725420467671693,0.17725679664230595,0.3308267201827728,0.07335849688313659
5.9,0.38836170610029563,0.5565725635745193,0.19688426613894666,0.2893911610890566,0.180325350273101,0.18033271586504643,0.3365214566508357,0.06867522190275482
6.0,0.39494704497071836,0.5660637423447654,0.19797794390064122,0.2961745204671936,0.18340392455957313,0.18340842313540506,0.3422163353347988,0.06459609661104518
6.1000000000000005,0.4015339661055335,0.5755508364255393,0.20114742640362934,0.30054257752693053,0.1864889323291435,0.18649383327277186,0.3479101351009133,0.06567395208535258
6.2,0.4081352746556379,0.5850316517064662,0.20101597239249602,0.3039309024059745,0.18957982847950214,0.18958228234154048,0.3536155665387638,0.05772871398238612
6.3,0.41473676840539514,0.5944887886900494,0.203555523276664,0.31235404668346384,0.19266292596448825,0.19266237313937534,0.35932412691121013,0.056530224275451256
6.4,0.4213399966519999,0.6039538985039984,0.2048997124671308,0.3118512001068742,0.19574467612813243,0.19574242759266314,0.3650353431073526,0.05117057959288285
6.5,0.42795422438876496,0.6134267499630641,0.20704906371821222,0.31470611665513676,0.1988344147289596,0.19883381084694154,0.37075403520529543,0.04965730532323837
6.6000000000000005,0.43456936326749157,0.6228993591286077,0.21015104052809824,0.32031035327410534,0.2019214568034285,0.20192386583999644,0.3764760188692705,0.05134154401920967
6.7,0.44119054768081173,0.6324085131509618,0.2123489695297076,0.3221427357905526,0.20500649105717028,0.20500641374289774,0.382208723379584,0.04837333595494015
6.8,0.4478100753325663,0.6418806080560153,0.21537165810137998,0.32647252821095324,0.20808438902223364,0.20808134868043374,0.38794350037214176,0.04716303404912402
6.9,0.4544326176432132,0.6513455607621392,0.21772033532229726,0.32922480141817684,0.21116102752229277,0.21115974475324378,0.39368320586013694,0.043657470960283495
7.0,0.4610638739999172,0.6608824949557845,0.22203162492829884,0.3339975815120676,0.2142404872964522,0.21423879748342153,0.39943181684244783,0.04721892302342441
7.1000000000000005,0.4676948734724481,0.6704839785413134,0.22538583489988304,0.33794505918106643,0.21731310375097096,0.2173142229929656,0.40518433618556216,0.04771897190726927
7.2,0.4743213844631205,0.6801159493502115,0.22911722666296336,0.34277056820897855,0.220388296546923,0.22039214893088555,0.4109309870559363,0.04996420955921263
7.3,0.48094216809616636,0.6897264404691577,0.23271748095183412,0.3476313305874122,0.22346145825491667,0.22346802329853954,0.4166731172967779,0.052619298555253644
7.4,0.48755805744440633,0.6992909248061436,0.23576827994489385,0.35182928724712553,0.22653253542472102,0.22653377336402608,0.4224100071552175,0.05222903338992835
7.5,0.4941742982636284,0.7088178342866237,0.23726200109109538,0.35634229439400245,0.22960014773284748,0.22960437772517994,0.4281477664492269,0.047494037130317204
7.6000000000000005,0.5007924721074944,0.7183582049193263,0.24049457212601766,0.361851243508304,0.2326683854402174,0.2326792959022413,0.43388963877385744,0.048995118345220266
7.7,0.5074189368143417,0.7279164570660139,0.24293085151977842,0.3662759413721088,0.23573565392312004,0.2357489744119244,0.4396436335713473,0.04531058234754236
7.8,0.5140461548583548,0.7374407462054345,0.24531764943609602,0.37129412852891686,0.23880356276914397,0.2388114224693038,0.4453981698531371,0.04415436242856382
7.9,0.5206780030512566,0.7469312027042251,0.24810629750951615,0.3766525776874636,0.24187972945757333,0.24188212200669704,0.45115329486677613,0.04279324528170443
8.0,0.5273111687309655,0.75637306481783,0.2508023093105466,0.38181290666385925,0.24495953560848888,0.24496423959725436,0.45690867633956184,0.0442342281552953
8.1,0.533938931293744,0.7658223348624138,0.2537839289777921,0.38789247943577454,0.24803992690681934,0.24804340553754378,0.46265838622419875,0.045175990291232766
8.2,0.5405662772102866,0.7752520981946897,0.25570659461044687,0.3912650729609853,0.25111836315082947,0.2511156540257072,0.4684090426798524,0.041554488342333454
8.3,0.5471962701164416,0.7846583135498192,0.25868251479730026,0.3959316095847821,0.2542024284545443,0.25421067104062584,0.4741593908609543,0.04011302225065455
8.4,0.5538219086157816,0.794031225213767,0.2620725431296337,0.40005739780878047,0.2572835291834129,0.25728583277307804,0.4799073057570692,0.03996192804887534
8.5,0.560443760689718,0.8034040556759736,0.26431470755253506,0.403654548471538,0.26036461570172353,0.26037299930222824,0.4856512878112225,0.0372058117485969
8.6,0.5670613281819172,0.8128137505492298,0.26694220751911407,0.4082836641515864,0.2634390049388648,0.2634572967135186,0.4913954267056343,0.03469270877798339
8.700000000000001,0.5736823863344462,0.8222328741474775,0.27003786829660326,0.41257857928034647,0.2665171644605743,0.26653382362758077,0.4971416951864713,0.03297523092289924
8.8,0.580301203551305,0.8316408411670135,0.27367462449115076,0.41665761049354466,0.2695892331413131,0.2695999321337709,0.5028878951773817,0.03316764687255534
8.9,0.5869121381945479,0.8410230787318026,0.276460435891715,0.4211521886738922,0.2726618813025324,0.2726586297914796,0.5086241541349981,0.032222228316097154
9.0,0.5935209672643043,0.8504296856730029,0.27886938391029725,0.4255260582472906,0.2757374232646251,0.275724596419877,0.5143576956401408,0.030494797160851312
9.1,0.6001334129612963,0.8598430413692959,0.2820458993101608,0.43020685152160826,0.27880928436374974,0.27880143777756183,0.5200976501720203,0.03126741729260503
9.200000000000001,0.6067553771360163,0.8692423044328084,0.2852115067143444,0.4352353659370778,0.2818809246772024,0.28186606245844903,0.5258480502017122,0.03184584997105207
9.3,0.6133798781214657,0.8786210319523986,0.28849645795879963,0.44027242073254697,0.28495211293777734,0.28493516240228023,0.53160349259679,0.033275981883149
9.4,0.6200093467524708,0.8879691651674547,0.29139368755369494,0.44531839924631994,0.2880257842489047,0.28800943683596314,0.5373637309798529,0.0333955314520311
9.5,0.6266402322198386,0.8972792810557582,0.29433085269513304,0.44978070172000056,0.29109978600553366,0.29109277687485646,0.5431235274364684,0.032481184922789744
9.6,0.6332716568085128,0.9065808121746634,0.29766080428675257,0.4543712647270457,0.2941707158625787,0.2941440563851684,0.548885546606374,0.03294786659732008
9.700000000000001,0.6398948930696361,0.9159068794794929,0.3006629580026655,0.4589843709884866,0.2972394250036575,0.2972284909857695,0.5546403544268117,0.032199345515237496
9.8,0.6465116853189812,0.9252224309993062,0.30405019999752814,0.4635191089873234,0.3003055426155139,0.30029695082054186,0.5603894446785518,0.033969777188816545
9.9,0.6531412496323429,0.9345531659594057,0.3072708239367165,0.4682125705156751,0.3033814380546512,0.3033797626379583,0.5661483923796423,0.034968381202265364
10.0,0.659772894720461,0.9439326895294047,0.31038943510013856,0.47309564623849104,0.3064589390276029,0.3064795996212816,0.5719081493930427,0.033948823746630864
10.1,0.6664109328931477,0.9533216388806134,0.3132447481936116,0.4780418796251019,0.30954937588621456,0.30957759279181724,0.5776679736786793,0.03412720582480716
10.200000000000001,0.67305996692452,0.962742403724216,0.3158954908620314,0.48274191871517463,0.3126570411013,0.3126586107120726,0.5834309069097807,0.033300295578691644
10.3,0.6797054847364123,0.9721539006284937,0.31882931680881094,0.4872892403199997,0.31576373038195105,0.31576109782383865,0.5891899657762085,0.03126486227098841
10.4,0.6863527848796017,0.9815367648734921,0.32163543009236284,0.49223729825020995,0.3188788298834744,0.31888772418395894,0.5949463641170128,0.030131269182838157
10.5,0.6930001374878949,0.990902819466278,0.3246717794054042,0.4972963020858785,0.32199649603271885,0.3219904675165898,0.6006996363168019,0.029948718527786283
10.6,0.6996447311765344,1.0002385708101578,0.32794647096926044,0.5021917443042032,0.32511536824608334,0.32513442699158557,0.6064497327880117,0.030416839823438367
10.700000000000001,0.7062837720344348,1.0095669311980793,0.3308196916298564,0.5070474702735409,0.328226750401042,0.32825567330313554,0.6121985691669766,0.02988047099657195
10.8,0.7129298196857473,1.0189113025949577,0.3338211099283062,0.5116971545297471,0.3313376579717128,0.33137606030117983,0.6179547670354377,0.0295539438103601
10.9,0.7195847813683921,1.028311596361326,0.33694457784128456,0.5163831529005032,0.33445058196446115,0.33449318300268754,0.623720210242863,0.029960259493294884
11.0,0.7262410069963908,1.0377129934719234,0.33970897309670467,0.5211077875330578,0.3375636565762977,0.3375951267651766,0.6294860787826208,0.029238106890761357
11.1,0.7329014458916908,1.0471277362683804,0.34281306589358634,0.5258960526692995,0.3406771279111765,0.34069797616284403,0.6352547074903189,0.03001513756629291
11.200000000000001,0.7395540223752097,1.0565169748922392,0.34592176393101354,0.5306677139458253,0.3437859832385996,0.3438108674449994,0.6410164096287789,0.029947358376791595
11.3,0.746203262015914,1.0659132990308156,0.3490021807541284,0.5355333520088873,0.34688870509144415,0.3469234745984543,0.6467755705383073,0.02967069915248502
11.4,0.7528509840216306,1.0753101798105833,0.35203005889062455,0.5400115494855119,0.34998074716822736,0.35001703240726034,0.6525377445972065,0.029759367290782834
11.5,0.7594940145800347,1.0846814255402097,0.3552453494657005,0.5449152199076855,0.35306501121944567,0.3531100117099954,0.6582992136191471,0.03181025797292109
11.6,0.7661368468820577,1.0940392329449802,0.35849089123049943,0.5495287183515456,0.3561508725409822,0.356215143267999,0.664059797811474,0.03292969560924569
11.700000000000001,0.7727746379607164,1.103372417014743,0.3617212525346999,0.5542260596616033,0.35923115094466146,0.3593232115342762,0.6698163443069316,0.0340195912732663
11.8,0.7794150451996891,1.112675124880316,0.36475528481961755,0.5590064919058368,0.36230914797976993,0.36244313172609083,0.6755776729517065,0.03312676511616801
11.9,0.7860514578638529,1.121995558082951,0.36788433101506135,0.5635557216129035,0.3653850656299387,0.3655272012521914,0.6813366817487005,0.03306073385515681
12.0,0.7926944835336996,1.131338089855692,0.37105166863930467,0.5684442140121193,0.36845939582830545,0.36859429547520184,0.6871017039499311,0.033482173575780504
12.1,0.7993360294752934,1.1406732119768204,0.3739848660734496,0.5735311356157783,0.371526751268615,0.3716578225331451,0.6928677360317556,0.03291426386072345
12.200000000000001,0.8059734559643976,1.1499966368528396,0.37708634511651734,0.5783054405099414,0.37459355223740604,0.3747496357406089,0.6986297212484891,0.03346429001392799
12.3,0.8126099079794995,1.159330839092905,0.38017038553351357,0.5827468032031482,0.37765936702169933,0.37781121263753675,0.7043914992760364,0.03332712329681307
12.4,0.8192435209467858,1.1686870484530643,0.3830880547350276,0.5873308070724231,0.3807283405265533,0.38085031936659247,0.71014979250022,0.03209515403279242
12.5,0.8258626875702628,1.1780146337546105,0.38614854223584766,0.5921517719715618,0.3837847523803769,0.3839106026299525,0.7158989868984245,0.03278867484287602
12.6,0.8324830759013743,1.1873089907532155,0.3890364525409708,0.5967223652020371,0.38683736044048767,0.38696314124018,0.7216507036087425,0.03209670190838586
12.700000000000001,0.8391105793247038,1.1966107979833256,0.39189047843052793,0.6011626515485126,0.3898980703290441,0.3900138468376092,0.7274051950730824,0.03118344157274533
12.8,0.8457468363776837,1.2058985344322921,0.3950037889881098,0.6059503075962919,0.3929694344505557,0.3930667596750463,0.7331624753719678,0.03133449583267598
12.9,0.8523859728452411,1.2151732155994135,0.3980380119790138,0.6112843150036552,0.3960386097647456,0.39612876214214143,0.7389236808345896,0.03152398995941907
13.0,0.8590201322275618,1.2245123263366648,0.4010725629069533,0.6159394404762606,0.39909682540517677,0.39915903567708255,0.7446852106594338,0.03193773840257383
13.1,0.8656641052962473,1.2338872675909138,0.40406956157173823,0.6203727392950943,0.402153288529041,0.40223358408111265,0.7504583090070784,0.031442519758011864
13.200000000000001,0.8723176394597525,1.2432766819600989,0.407153620414998,0.6251674506765262,0.4052067372404111,0.4052757583241811,0.7562432801333709,0.03188834742682493
13.3,0.878981693320472,1.252700243781472,0.410171026250801,0.629333236705444,0.40825847870399246,0.4083290280988744,0.7620403334607038,0.032141796252519554
13.4,0.8856528929229363,1.2621271664677047,0.4134395405405885,0.6339499737042432,0.41131912249042646,0.41140810137349043,0.7678407725958762,0.03363705656178677
13.5,0.892326834028529,1.271559541662785,0.4163131919922282,0.6387164407101649,0.4143800859415224,0.4144417759443003,0.7736442811593663,0.03344713681376063
13.6,0.8990016999795738,1.2809628564189768,0.41932014171964216,0.6434368978263675,0.4174426970612222,0.41752399296591075,0.7794486527519325,0.03264666357381448
13.700000000000001,0.9056788710055519,1.290349687911149,0.422335206551758,0.6482022520077554,0.42050507667298803,0.4205640980443122,0.78525501511599,0.03255763925185036
13.8,0.9123549748162315,1.2997389694521806,0.42548581651075457,0.6529042642125334,0.4235678529381686,0.4236528951740481,0.7910596377066399,0.032772618609418845
13.9,0.9190337062498909,1.3091260618478862,0.4284268927786633,0.6573715026624969,0.42662578507518667,0.4267307192161348,0.7968718140338645,0.031331007425274636
14.0,0.9257163772100208,1.3184991546972338,0.4316555397535121,0.6621325876025546,0.42967624930985276,0.4298365364590738,0.8026941109310168,0.03290929945121215
