seed,imu_fleet_rmse_m,full_fleet_rmse_m,imu_worst_node_rmse_m,full_worst_node_rmse_m,imu_centroid_rmse_m,full_centroid_rmse_m,imu_relative_shape_rmse_m,full_relative_shape_rmse_m,imu_yaw_rmse_deg,full_yaw_rmse_deg,imu_runtime_s,full_runtime_s,imu_node1_rmse_m,full_node1_rmse_m,imu_node2_rmse_m,full_node2_rmse_m,imu_node3_rmse_m,full_node3_rmse_m,imu_node4_rmse_m,full_node4_rmse_m
0,2.1000722893673838,1.1295994103531621,3.673103240313417,1.1357643494534095,1.1209550986108165,1.1288262604314367,1.7758838046074918,0.04178638092237765,0.04236435009769715,0.049550599800004105,1.3320753819999993,1.5043097519999975,0.9988319045678621,1.127982927313075,3.673103240313417,1.1357643494534095,1.2832767870387842,1.130354159937847,1.2268099211120258,1.1242653791667472
1,2.683813127254665,0.9183662898749263,3.8887746500726372,0.9298504669270526,0.9268065770487004,0.9174557845575256,2.518706507468414,0.040884297237107944,0.08382333574181519,0.07864278658314457,1.3170787560000008,1.511136356999998,1.5982517875840279,0.9115467477020347,3.8887746500726372,0.9148509561329925,1.963665587465882,0.9298504669270526,2.6978606363444686,0.9171122796509067
2,2.9339974584964437,1.2239417623051323,4.129414416766775,1.2376349083515608,1.219131283732184,1.2227581348337406,2.668718793632838,0.05381432163006949,0.033921169171737625,0.047148019422171165,1.311709882999999,1.5011445060000028,1.256221341224447,1.229858795728597,2.412373414364833,1.2183628951691197,4.129414416766775,1.2097242586358772,3.1596935566556237,1.2376349083515608
3,2.318716695317621,1.4368324482841643,2.832242234957321,1.45354498540515,1.4392763121848846,1.436302682437995,1.8179468667505518,0.03901395729332923,0.026458483842900896,0.053562268244529095,1.3107114219999971,1.5129471269999968,2.832242234957321,1.45354498540515,2.6177857036543895,1.42917982087463,1.3450975247795363,1.4251059696153554,2.19592874057363,1.4393314170628122
4,3.2261328661785673,0.372203999289713,3.8059626551554073,0.3947512649254429,0.36904132987285415,0.3678200599445411,3.204955813592945,0.05695805991824936,0.05378347748317572,0.054768381972946215,1.3091295399999936,1.5003812149999973,3.3232533650265133,0.3657383983621013,2.2316965676278144,0.34881327846951893,3.8059626551554073,0.3779939522210113,3.3349511016491324,0.3947512649254429
5,2.4901969386486815,1.2015818494110795,3.41969084034078,1.223806011912048,1.200189985329344,1.2003723934937718,2.181885604785552,0.05389858784962378,0.056520170645185455,0.06934982376736228,1.3206298340000018,1.513756665999999,1.329394066439074,1.1777504444911526,3.41969084034078,1.223806011912048,2.347767162551155,1.2111245823415293,2.4146922155988166,1.1931369347620933
6,3.0051536110431436,2.3429162877599734,4.36129775606979,2.351035159901195,2.3454865561858855,2.342479900475128,1.8787338930026571,0.04521777660398238,0.06133765585000628,0.06720688980878665,1.3022135909999975,1.4954706729999998,3.0706297521182004,2.3349210930901814,1.9719450682073016,2.3505239422441893,1.94564651469445,2.351035159901195,4.36129775606979,2.3351319638709116
7,1.8787567679601753,0.9372309234911506,2.702718356834527,0.9422695420970167,0.9432883509226809,0.9366266736341571,1.6247873953750787,0.0336493415253428,0.04225638312417613,0.06201325776127327,1.304215181999993,1.4958613159999885,2.702718356834527,0.9418015586197541,0.24893787170063775,0.9276050271206782,2.1786564294799935,0.9371734437501009,1.4162300500176417,0.9422695420970167
8,2.113515614710185,0.5941076396654175,2.6335085358671444,0.606803345005316,0.5926532718475668,0.592606777247051,2.0287213591304614,0.04220302204436932,0.022488153159756843,0.035977627324837995,1.3009054099999986,1.4949489520000014,2.2234518462075594,0.6007412358978748,2.6335085358671444,0.5894840458066463,0.8317129379715175,0.5790196695768948,2.301508479762122,0.606803345005316
9,3.0255341432829446,1.3776485880340357,4.414787889618851,1.3941641033803172,1.3788565018759622,1.3766698198255958,2.6930673217365446,0.051921472374480394,0.03595914558091613,0.053647203356164894,1.3051021799999916,1.5034866809999983,4.414787889618851,1.3645428190214595,2.1390529154361966,1.3851785122183067,1.8841154775719962,1.3664817472765947,2.9999394644718564,1.3941641033803172
