policy,time_s,pair
information,51.2,1-3
information,51.4,1-2
information,51.5,3-4
information,51.7,2-3
information,51.9,1-3
information,52.0,1-4
information,52.2,3-4
information,52.4,2-4
information,52.5,3-4
information,52.7,1-3
information,52.9,1-2
information,53.0,2-3
information,53.2,3-4
information,53.4,1-4
information,53.5,1-3
information,53.7,3-4
information,53.9,1-3
information,54.0,2-4
information,54.2,1-4
information,54.4,2-3
information,54.5,3-4
information,54.7,1-2
information,54.9,1-3
information,55.0,1-4
information,55.2,3-4
information,55.4,2-3
information,55.5,1-3
information,55.7,1-2
information,55.9,1-4
information,56.0,1-3
information,56.2,3-4
information,56.4,2-3
information,56.5,2-4
information,56.7,1-3
information,56.9,1-4
information,57.0,1-3
information,57.2,1-2
information,57.4,2-3
information,57.5,3-4
information,57.7,1-3
information,57.9,1-2
information,58.0,1-4
information,58.2,1-2
information,58.4,1-3
information,58.5,1-2
information,58.7,2-3
information,58.9,1-2
information,59.0,1-4
information,59.2,1-2
information,59.4,1-2
information,59.5,3-4
information,59.7,1-2
information,59.9,1-3
information,60.0,2-4
