seed,budget,policy,pair,exchanges
14,360,geometry,3-4,67
14,360,information,1-2,50
14,360,information,1-3,70
14,360,information,1-4,65
14,360,information,2-3,47
14,360,information,2-4,53
14,360,information,3-4,75
14,720,cyclic,1-2,120
14,720,cyclic,1-3,120
14,720,cyclic,1-4,120
14,720,cyclic,2-3,120
14,720,cyclic,2-4,120
14,720,cyclic,3-4,120
14,720,random,1-2,126
14,720,random,1-3,115
14,720,random,1-4,116
14,720,random,2-3,128
14,720,random,2-4,109
14,720,random,3-4,126
14,720,geometry,1-2,110
14,720,geometry,1-3,131
14,720,geometry,1-4,116
14,720,geometry,2-3,114
14,720,geometry,2-4,114
14,720,geometry,3-4,135
14,720,information,1-2,106
14,720,information,1-3,142
14,720,information,1-4,131
14,720,information,2-3,90
14,720,information,2-4,95
14,720,information,3-4,156
15,180,cyclic,1-2,30
15,180,cyclic,1-3,30
15,180,cyclic,1-4,30
15,180,cyclic,2-3,30
15,180,cyclic,2-4,30
15,180,cyclic,3-4,30
15,180,random,1-2,28
15,180,random,1-3,28
15,180,random,1-4,21
15,180,random,2-3,34
15,180,random,2-4,27
15,180,random,3-4,42
15,180,geometry,1-2,28
15,180,geometry,1-3,33
15,180,geometry,1-4,28
15,180,geometry,2-3,29
15,180,geometry,2-4,28
15,180,geometry,3-4,34
15,180,information,1-2,26
15,180,information,1-3,36
15,180,information,1-4,32
15,180,information,2-3,23
15,180,information,2-4,29
15,180,information,3-4,34
15,360,cyclic,1-2,60
15,360,cyclic,1-3,60
15,360,cyclic,1-4,60
15,360,cyclic,2-3,60
15,360,cyclic,2-4,60
15,360,cyclic,3-4,60
15,360,random,1-2,52
15,360,random,1-3,51
15,360,random,1-4,73
15,360,random,2-3,61
15,360,random,2-4,46
15,360,random,3-4,77
15,360,geometry,1-2,54
15,360,geometry,1-3,65
15,360,geometry,1-4,59
15,360,geometry,2-3,58
15,360,geometry,2-4,55
15,360,geometry,3-4,69
15,360,information,1-2,52
15,360,information,1-3,71
15,360,information,1-4,65
15,360,information,2-3,46
15,360,information,2-4,51
15,360,information,3-4,75
15,720,cyclic,1-2,120
15,720,cyclic,1-3,120
15,720,cyclic,1-4,120
15,720,cyclic,2-3,120
15,720,cyclic,2-4,120
15,720,cyclic,3-4,120
15,720,random,1-2,107
15,720,random,1-3,132
15,720,random,1-4,126
15,720,random,2-3,117
15,720,random,2-4,123
15,720,random,3-4,115
15,720,geometry,1-2,111
15,720,geometry,1-3,129
15,720,geometry,1-4,116
15,720,geometry,2-3,114
15,720,geometry,2-4,112
15,720,geometry,3-4,138
15,720,information,1-2,103
15,720,information,1-3,141
15,720,information,1-4,134
15,720,information,2-3,93
15,720,information,2-4,91
15,720,information,3-4,158
16,180,cyclic,1-2,30
16,180,cyclic,1-3,30
16,180,cyclic,1-4,30
16,180,cyclic,2-3,30
16,180,cyclic,2-4,30
16,180,cyclic,3-4,30
16,180,random,1-2,27
16,180,random,1-3,32
16,180,random,1-4,34
16,180,random,2-3,28
16,180,random,2-4,22
16,180,random,3-4,37
16,180,geometry,1-2,28
16,180,geometry,1-3,33
16,180,geometry,1-4,29
16,180,geometry,2-3,28
16,180,geometry,2-4,29
16,180,geometry,3-4,33
16,180,information,1-2,27
16,180,information,1-3,37
16,180,information,1-4,32
16,180,information,2-3,22
16,180,information,2-4,28
16,180,information,3-4,34
16,360,cyclic,1-2,60
16,360,cyclic,1-3,60
16,360,cyclic,1-4,60
16,360,cyclic,2-3,60
16,360,cyclic,2-4,60
16,360,cyclic,3-4,60
16,360,random,1-2,59
16,360,random,1-3,54
16,360,random,1-4,56
16,360,random,2-3,71
16,360,random,2-4,64
16,360,random,3-4,56
16,360,geometry,1-2,56
16,360,geometry,1-3,66
16,360,geometry,1-4,57
16,360,geometry,2-3,58
16,360,geometry,2-4,56
16,360,geometry,3-4,67
16,360,information,1-2,51
16,360,information,1-3,72
16,360,information,1-4,66
16,360,information,2-3,45
16,360,information,2-4,53
16,360,information,3-4,73
16,720,cyclic,1-2,120
16,720,cyclic,1-3,120
16,720,cyclic,1-4,120
16,720,cyclic,2-3,120
16,720,cyclic,2-4,120
16,720,cyclic,3-4,120
16,720,random,1-2,121
16,720,random,1-3,111
16,720,random,1-4,118
16,720,random,2-3,126
16,720,random,2-4,127
16,720,random,3-4,117
16,720,geometry,1-2,112
16,720,geometry,1-3,130
16,720,geometry,1-4,115
16,720,geometry,2-3,113
16,720,geometry,2-4,113
16,720,geometry,3-4,137
16,720,information,1-2,103
16,720,information,1-3,144
16,720,information,1-4,133
16,720,information,2-3,91
16,720,information,2-4,93
16,720,information,3-4,156
17,180,cyclic,1-2,30
17,180,cyclic,1-3,30
17,180,cyclic,1-4,30
17,180,cyclic,2-3,30
17,180,cyclic,2-4,30
17,180,cyclic,3-4,30
17,180,random,1-2,31
17,180,random,1-3,35
17,180,random,1-4,29
17,180,random,2-3,26
17,180,random,2-4,31
17,180,random,3-4,28
17,180,geometry,1-2,28
17,180,geometry,1-3,32
17,180,geometry,1-4,29
17,180,geometry,2-3,29
17,180,geometry,2-4,29
17,180,geometry,3-4,33
17,180,information,1-2,26
17,180,information,1-3,35
17,180,information,1-4,32
17,180,information,2-3,23
17,180,information,2-4,29
17,180,information,3-4,35
17,360,cyclic,1-2,60
17,360,cyclic,1-3,60
17,360,cyclic,1-4,60
17,360,cyclic,2-3,60
17,360,cyclic,2-4,60
17,360,cyclic,3-4,60
17,360,random,1-2,50
17,360,random,1-3,62
17,360,random,1-4,59
17,360,random,2-3,66
17,360,random,2-4,51
17,360,random,3-4,72
17,360,geometry,1-2,55
17,360,geometry,1-3,66
17,360,geometry,1-4,56
17,360,geometry,2-3,58
17,360,geometry,2-4,56
17,360,geometry,3-4,69
17,360,information,1-2,52
17,360,information,1-3,70
17,360,information,1-4,67
17,360,information,2-3,45
17,360,information,2-4,53
17,360,information,3-4,73
17,720,cyclic,1-2,120
17,720,cyclic,1-3,120
17,720,cyclic,1-4,120
17,720,cyclic,2-3,120
17,720,cyclic,2-4,120
17,720,cyclic,3-4,120
17,720,random,1-2,140
17,720,random,1-3,120
17,720,random,1-4,107
17,720,random,2-3,110
17,720,random,2-4,127
17,720,random,3-4,116
17,720,geometry,1-2,110
17,720,geometry,1-3,131
17,720,geometry,1-4,116
17,720,geometry,2-3,114
17,720,geometry,2-4,110
17,720,geometry,3-4,139
17,720,information,1-2,102
17,720,information,1-3,142
17,720,information,1-4,133
17,720,information,2-3,91
17,720,information,2-4,94
17,720,information,3-4,158
18,180,cyclic,1-2,30
18,180,cyclic,1-3,30
18,180,cyclic,1-4,30
18,180,cyclic,2-3,30
18,180,cyclic,2-4,30
18,180,cyclic,3-4,30
18,180,random,1-2,22
18,180,random,1-3,39
18,180,random,1-4,34
18,180,random,2-3,21
18,180,random,2-4,34
18,180,random,3-4,30
18,180,geometry,1-2,29
18,180,geometry,1-3,32
18,180,geometry,1-4,29
18,180,geometry,2-3,29
18,180,geometry,2-4,28
18,180,geometry,3-4,33
18,180,information,1-2,27
18,180,information,1-3,36
18,180,information,1-4,33
18,180,information,2-3,22
18,180,information,2-4,27
18,180,information,3-4,35
18,360,cyclic,1-2,60
18,360,cyclic,1-3,60
18,360,cyclic,1-4,60
18,360,cyclic,2-3,60
18,360,cyclic,2-4,60
18,360,cyclic,3-4,60
18,360,random,1-2,68
18,360,random,1-3,62
18,360,random,1-4,57
18,360,random,2-3,63
18,360,random,2-4,51
18,360,random,3-4,59
18,360,geometry,1-2,56
18,360,geometry,1-3,66
18,360,geometry,1-4,57
18,360,geometry,2-3,57
18,360,geometry,2-4,56
18,360,geometry,3-4,68
18,360,information,1-2,53
18,360,information,1-3,72
18,360,information,1-4,65
18,360,information,2-3,45
18,360,information,2-4,51
18,360,information,3-4,74
18,720,cyclic,1-2,120
18,720,cyclic,1-3,120
18,720,cyclic,1-4,120
18,720,cyclic,2-3,120
18,720,cyclic,2-4,120
18,720,cyclic,3-4,120
18,720,random,1-2,128
18,720,random,1-3,116
18,720,random,1-4,118
18,720,random,2-3,126
18,720,random,2-4,123
18,720,random,3-4,109
18,720,geometry,1-2,111
18,720,geometry,1-3,131
18,720,geometry,1-4,117
18,720,geometry,2-3,113
18,720,geometry,2-4,112
18,720,geometry,3-4,136
18,720,information,1-2,104
18,720,information,1-3,143
18,720,information,1-4,134
18,720,information,2-3,90
18,720,information,2-4,94
18,720,information,3-4,155
19,180,cyclic,1-2,30
19,180,cyclic,1-3,30
19,180,cyclic,1-4,30
19,180,cyclic,2-3,30
19,180,cyclic,2-4,30
19,180,cyclic,3-4,30
19,180,random,1-2,31
19,180,random,1-3,33
19,180,random,1-4,34
19,180,random,2-3,30
19,180,random,2-4,22
19,180,random,3-4,30
19,180,geometry,1-2,28
19,180,geometry,1-3,33
19,180,geometry,1-4,28
19,180,geometry,2-3,29
19,180,geometry,2-4,29
19,180,geometry,3-4,33
19,180,information,1-2,26
19,180,information,1-3,37
19,180,information,1-4,31
19,180,information,2-3,23
19,180,information,2-4,29
19,180,information,3-4,34
19,360,cyclic,1-2,60
19,360,cyclic,1-3,60
19,360,cyclic,1-4,60
19,360,cyclic,2-3,60
19,360,cyclic,2-4,60
19,360,cyclic,3-4,60
19,360,random,1-2,50
19,360,random,1-3,60
19,360,random,1-4,60
19,360,random,2-3,76
19,360,random,2-4,55
19,360,random,3-4,59
19,360,geometry,1-2,55
19,360,geometry,1-3,66
19,360,geometry,1-4,57
19,360,geometry,2-3,57
19,360,geometry,2-4,57
19,360,geometry,3-4,68
19,360,information,1-2,50
19,360,information,1-3,71
19,360,information,1-4,65
19,360,information,2-3,47
19,360,information,2-4,53
19,360,information,3-4,74
19,720,cyclic,1-2,120
19,720,cyclic,1-3,120
19,720,cyclic,1-4,120
19,720,cyclic,2-3,120
19,720,cyclic,2-4,120
19,720,cyclic,3-4,120
19,720,random,1-2,126
19,720,random,1-3,106
19,720,random,1-4,130
19,720,random,2-3,104
19,720,random,2-4,121
19,720,random,3-4,133
19,720,geometry,1-2,110
19,720,geometry,1-3,130
19,720,geometry,1-4,116
19,720,geometry,2-3,113
19,720,geometry,2-4,112
19,720,geometry,3-4,139
19,720,information,1-2,105
19,720,information,1-3,143
19,720,information,1-4,130
19,720,information,2-3,92
19,720,information,2-4,94
19,720,information,3-4,156
