seed,budget,policy,pair,exchanges
2,720,geometry,3-4,137
2,720,information,1-2,105
2,720,information,1-3,144
2,720,information,1-4,136
2,720,information,2-3,90
2,720,information,2-4,94
2,720,information,3-4,151
3,180,cyclic,1-2,30
3,180,cyclic,1-3,30
3,180,cyclic,1-4,30
3,180,cyclic,2-3,30
3,180,cyclic,2-4,30
3,180,cyclic,3-4,30
3,180,random,1-2,23
3,180,random,1-3,36
3,180,random,1-4,23
3,180,random,2-3,39
3,180,random,2-4,31
3,180,random,3-4,28
3,180,geometry,1-2,28
3,180,geometry,1-3,32
3,180,geometry,1-4,28
3,180,geometry,2-3,29
3,180,geometry,2-4,29
3,180,geometry,3-4,34
3,180,information,1-2,27
3,180,information,1-3,35
3,180,information,1-4,33
3,180,information,2-3,21
3,180,information,2-4,30
3,180,information,3-4,34
3,360,cyclic,1-2,60
3,360,cyclic,1-3,60
3,360,cyclic,1-4,60
3,360,cyclic,2-3,60
3,360,cyclic,2-4,60
3,360,cyclic,3-4,60
3,360,random,1-2,66
3,360,random,1-3,64
3,360,random,1-4,54
3,360,random,2-3,48
3,360,random,2-4,57
3,360,random,3-4,71
3,360,geometry,1-2,55
3,360,geometry,1-3,65
3,360,geometry,1-4,58
3,360,geometry,2-3,58
3,360,geometry,2-4,57
3,360,geometry,3-4,67
3,360,information,1-2,52
3,360,information,1-3,72
3,360,information,1-4,66
3,360,information,2-3,46
3,360,information,2-4,51
3,360,information,3-4,73
3,720,cyclic,1-2,120
3,720,cyclic,1-3,120
3,720,cyclic,1-4,120
3,720,cyclic,2-3,120
3,720,cyclic,2-4,120
3,720,cyclic,3-4,120
3,720,random,1-2,114
3,720,random,1-3,114
3,720,random,1-4,127
3,720,random,2-3,134
3,720,random,2-4,110
3,720,random,3-4,121
3,720,geometry,1-2,110
3,720,geometry,1-3,131
3,720,geometry,1-4,116
3,720,geometry,2-3,115
3,720,geometry,2-4,112
3,720,geometry,3-4,136
3,720,information,1-2,104
3,720,information,1-3,142
3,720,information,1-4,133
3,720,information,2-3,92
3,720,information,2-4,93
3,720,information,3-4,156
4,180,cyclic,1-2,30
4,180,cyclic,1-3,30
4,180,cyclic,1-4,30
4,180,cyclic,2-3,30
4,180,cyclic,2-4,30
4,180,cyclic,3-4,30
4,180,random,1-2,29
4,180,random,1-3,31
4,180,random,1-4,36
4,180,random,2-3,35
4,180,random,2-4,23
4,180,random,3-4,26
4,180,geometry,1-2,29
4,180,geometry,1-3,30
4,180,geometry,1-4,30
4,180,geometry,2-3,29
4,180,geometry,2-4,28
4,180,geometry,3-4,34
4,180,information,1-2,26
4,180,information,1-3,36
4,180,information,1-4,33
4,180,information,2-3,22
4,180,information,2-4,28
4,180,information,3-4,35
4,360,cyclic,1-2,60
4,360,cyclic,1-3,60
4,360,cyclic,1-4,60
4,360,cyclic,2-3,60
4,360,cyclic,2-4,60
4,360,cyclic,3-4,60
4,360,random,1-2,71
4,360,random,1-3,67
4,360,random,1-4,68
4,360,random,2-3,52
4,360,random,2-4,47
4,360,random,3-4,55
4,360,geometry,1-2,57
4,360,geometry,1-3,66
4,360,geometry,1-4,57
4,360,geometry,2-3,57
4,360,geometry,2-4,56
4,360,geometry,3-4,67
4,360,information,1-2,53
4,360,information,1-3,72
4,360,information,1-4,66
4,360,information,2-3,44
4,360,information,2-4,52
4,360,information,3-4,73
4,720,cyclic,1-2,120
4,720,cyclic,1-3,120
4,720,cyclic,1-4,120
4,720,cyclic,2-3,120
4,720,cyclic,2-4,120
4,720,cyclic,3-4,120
4,720,random,1-2,115
4,720,random,1-3,109
4,720,random,1-4,129
4,720,random,2-3,133
4,720,random,2-4,114
4,720,random,3-4,120
4,720,geometry,1-2,111
4,720,geometry,1-3,131
4,720,geometry,1-4,116
4,720,geometry,2-3,114
4,720,geometry,2-4,111
4,720,geometry,3-4,137
4,720,information,1-2,107
4,720,information,1-3,145
4,720,information,1-4,134
4,720,information,2-3,89
4,720,information,2-4,93
4,720,information,3-4,152
5,180,cyclic,1-2,30
5,180,cyclic,1-3,30
5,180,cyclic,1-4,30
5,180,cyclic,2-3,30
5,180,cyclic,2-4,30
5,180,cyclic,3-4,30
5,180,random,1-2,39
5,180,random,1-3,33
5,180,random,1-4,31
5,180,random,2-3,24
5,180,random,2-4,25
5,180,random,3-4,28
5,180,geometry,1-2,27
5,180,geometry,1-3,32
5,180,geometry,1-4,29
5,180,geometry,2-3,30
5,180,geometry,2-4,28
5,180,geometry,3-4,34
5,180,information,1-2,28
5,180,information,1-3,36
5,180,information,1-4,32
5,180,information,2-3,22
5,180,information,2-4,28
5,180,information,3-4,34
5,360,cyclic,1-2,60
5,360,cyclic,1-3,60
5,360,cyclic,1-4,60
5,360,cyclic,2-3,60
5,360,cyclic,2-4,60
5,360,cyclic,3-4,60
5,360,random,1-2,61
5,360,random,1-3,64
5,360,random,1-4,58
5,360,random,2-3,54
5,360,random,2-4,62
5,360,random,3-4,61
5,360,geometry,1-2,57
5,360,geometry,1-3,64
5,360,geometry,1-4,58
5,360,geometry,2-3,58
5,360,geometry,2-4,55
5,360,geometry,3-4,68
5,360,information,1-2,51
5,360,information,1-3,71
5,360,information,1-4,66
5,360,information,2-3,46
5,360,information,2-4,52
5,360,information,3-4,74
5,720,cyclic,1-2,120
5,720,cyclic,1-3,120
5,720,cyclic,1-4,120
5,720,cyclic,2-3,120
5,720,cyclic,2-4,120
5,720,cyclic,3-4,120
5,720,random,1-2,118
5,720,random,1-3,119
5,720,random,1-4,119
5,720,random,2-3,131
5,720,random,2-4,120
5,720,random,3-4,113
5,720,geometry,1-2,110
5,720,geometry,1-3,130
5,720,geometry,1-4,116
5,720,geometry,2-3,114
5,720,geometry,2-4,111
5,720,geometry,3-4,139
5,720,information,1-2,103
5,720,information,1-3,143
5,720,information,1-4,133
5,720,information,2-3,93
5,720,information,2-4,93
5,720,information,3-4,155
6,180,cyclic,1-2,30
6,180,cyclic,1-3,30
6,180,cyclic,1-4,30
6,180,cyclic,2-3,30
6,180,cyclic,2-4,30
6,180,cyclic,3-4,30
