seed,budget,communication_ratio,policy,fleet_rmse_m,worst_node_rmse_m,centroid_rmse_m,relative_shape_rmse_m,yaw_rmse_deg,runtime_s,node1_rmse_m,node2_rmse_m,node3_rmse_m,node4_rmse_m
0,180,0.05,cyclic,1.1305653996717477,1.1499118391715337,1.127192395176655,0.08726641502235905,0.050713792583091576,1.7779822960001184,1.114116103754101,1.1451129123246397,1.112599199737292,1.1499118391715337
0,180,0.05,random,1.1228574885513338,1.168104149175704,1.1193750610890707,0.0883652205771483,0.03825616563788341,1.9355170329999964,1.1093827639007805,1.168104149175704,1.1180678154548185,1.094514823227945
0,180,0.05,geometry,1.1237725082593388,1.1332240048728435,1.1200061255719396,0.09192893451366954,0.047178205873255497,1.9179241419988102,1.1048519623172752,1.1330984088083682,1.1236779313386498,1.1332240048728435
0,180,0.05,information,1.133496939642291,1.156245814080158,1.1270531020200163,0.12069224252410707,0.040325909240611794,2.451994482998998,1.156245814080158,1.1345944562294379,1.1305165334006901,1.1121981180243856
0,360,0.1,cyclic,1.125631747174536,1.13501721491629,1.1225539220377942,0.08318366645420618,0.03483578711628007,1.9572397070005536,1.13501721491629,1.1303392913879498,1.1099187353803488,1.1270921568482029
0,360,0.1,random,1.126024355285693,1.1328047625747673,1.1229114824799578,0.08366989429432996,0.05988484512684041,1.9830079189996468,1.119665301731501,1.125179719410546,1.1328047625747673,1.12640888481931
0,360,0.1,geometry,1.1287814481997576,1.1483190928790912,1.1266926572281868,0.06863828339949533,0.04082300639647703,1.8783669260010356,1.1176057919039173,1.1483190928790912,1.1346964379916795,1.1141699958448557
0,360,0.1,information,1.1246366052267258,1.1420615123493596,1.12324938606238,0.055841834912368084,0.03595825642524108,1.7987676330012619,1.1420615123493596,1.1252737269579274,1.1163379283511943,1.11466324350301
0,720,0.2,cyclic,1.1334103566974296,1.1557305361232835,1.1304456939121967,0.08192417094098066,0.0584641779748562,1.761587614999371,1.0977193066050126,1.1557305361232835,1.1352773634717472,1.144080725492488
0,720,0.2,random,1.1281823539216689,1.1397962994046291,1.126923318802524,0.05328468109449748,0.04083572824246111,1.9255457979998027,1.120033512489738,1.1397962994046291,1.1225310921613447,1.1302632298254367
0,720,0.2,geometry,1.1277466003872374,1.138027085145255,1.1261484434034705,0.060017315042507284,0.040916824904523655,2.0654896260002715,1.115196918845305,1.126464345560142,1.138027085145255,1.131175425208387
0,720,0.2,information,1.1306539971169127,1.1375054396861486,1.1288499614863754,0.06384532597348115,0.048236620009276254,2.0033736240002327,1.136511425233301,1.1320907147837806,1.1375054396861486,1.1163814819696487
