seed,initial_support_count,pf_pose_success,aacopf_pose_success,pf_late_position_rmse_m,aacopf_late_position_rmse_m,pf_late_yaw_rmse_deg,aacopf_late_yaw_rmse_deg,aacopf_minimum_unique_parent_fraction,aacopf_dominant_clone,aacopf_catastrophic_collapse
0,1,False,False,15.681644905510499,3.1255861253725756,44.71665716629408,11.564688788570436,0.16916666666666666,True,False
1,1,False,False,45.42992561156125,23.62936465286217,160.75641930268972,70.35117076184612,0.3125,True,False
2,2,False,False,22.542531748039007,4.775928778652178,67.0447819486074,7.701158289094878,0.36333333333333334,True,False
3,3,False,True,39.86099816926739,0.5645922662936659,149.2389358152536,0.7892469567792021,0.5266666666666666,False,False
4,4,False,False,28.79222456307489,5.766436141909804,89.07132888125678,10.211469869540405,0.505,False,False
5,5,False,False,9.527122180951729,8.48536376258428,27.435771730084042,21.99923745707288,0.26,True,False
6,3,False,False,28.398282563484464,6.30717136548933,87.41287997737227,11.369986533762658,0.4925,True,False
7,3,True,False,0.6723111005436206,31.14834480024051,2.380991370346134,98.99688647938517,0.0775,True,True
8,1,False,False,15.843780133208442,1.5221719050969584,45.991421755299754,1.1200481172926122,0.38333333333333336,True,False
9,3,False,False,17.20406690240376,7.1167488183340994,49.75487459195883,15.03308046076697,0.37916666666666665,True,False
10,1,False,False,7.615875411748133,7.615875411748136,12.946261511902076,12.946261511902076,0.06666666666666667,True,True
11,0,False,False,5.090832844698189,7.109293494730542,13.098567751027698,15.778118090646855,0.215,True,False
12,2,False,False,14.996652934908557,9.317360371068368,43.229971909380566,17.075434490088494,0.26916666666666667,True,False
13,1,False,False,43.79956915884638,11.889916213557717,169.95868681052752,24.863731795803695,0.3591666666666667,True,False
14,2,False,False,4.21098845653223,12.74567529739495,8.676282610282714,32.72022426255674,0.3975,True,False
15,1,True,False,0.47284857826887944,44.83811006268268,1.4908517395627938,145.64131482069567,0.37,True,False
16,4,False,False,7.834468591592351,26.933204874194836,22.84143615395183,62.11821786909826,0.3283333333333333,True,False
17,5,False,False,3.437620424651444,3.6003644774693924,8.52035369086233,8.321989343424427,0.48833333333333334,True,False
18,2,False,False,43.54920490772659,10.290050710687094,166.01173676933328,26.69823184182432,0.3258333333333333,True,False
19,3,False,False,43.929918119651866,28.866921764643603,168.47632510493168,84.48919465519221,0.5291666666666667,False,False
