rate_hz,time_s,mean_fleet_rms_error_m,std_fleet_rms_error_m,p95_fleet_rms_error_m,mean_centroid_error_m,std_centroid_error_m,p95_centroid_error_m,mean_shape_rms_error_m,std_shape_rms_error_m,p95_shape_rms_error_m
0,5.2,0.3422667,0.09579872,0.4906686,0.1588671,0.0664649,0.2458297,0.2966082,0.09432944,0.4305354
0,5.3,0.3488569,0.09762874,0.5000417,0.1619372,0.06775339,0.2506186,0.3023135,0.09612409,0.4387091
0,5.4,0.3554533,0.09946177,0.509407,0.1650072,0.0690468,0.2553688,0.3080243,0.09792377,0.4468964
0,5.5,0.3620439,0.1012973,0.5187871,0.1680719,0.07033696,0.2601259,0.3137328,0.09972365,0.4550965
0,5.6,0.3686245,0.1031343,0.5281988,0.1711335,0.07162151,0.264922,0.3194326,0.1015243,0.463311
0,5.7,0.3752015,0.1049725,0.5376445,0.1741906,0.07290441,0.2697198,0.3251309,0.1033274,0.4715637
0,5.8,0.3817796,0.1068168,0.5471184,0.1772542,0.07418797,0.2745227,0.3308267,0.1051362,0.4798469
0,5.9,0.3883617,0.1086601,0.5565726,0.1803254,0.07548068,0.2793221,0.3365215,0.1069436,0.4881114
0,6,0.394947,0.1105043,0.5660637,0.1834039,0.07677273,0.2841437,0.3422163,0.108751,0.4964057
0,6.1,0.401534,0.1123446,0.5755508,0.1864889,0.07806432,0.2889667,0.3479101,0.1105529,0.5046944
0,6.2,0.4081353,0.1141742,0.5850317,0.1895798,0.07935993,0.2937417,0.3536156,0.1123471,0.5130027
0,6.3,0.4147368,0.116002,0.5944888,0.1926629,0.08065753,0.298474,0.3593241,0.1141423,0.5213083
0,6.4,0.42134,0.1178245,0.6039539,0.1957447,0.08196041,0.3032275,0.3650353,0.1159285,0.529612
0,6.5,0.4279542,0.1196421,0.6134267,0.1988344,0.08326273,0.3079918,0.370754,0.1177134,0.5379186
0,6.6,0.4345694,0.1214515,0.6228994,0.2019215,0.08456085,0.3127324,0.376476,0.1194902,0.5462376
0,6.7,0.4411905,0.1232519,0.6324085,0.2050065,0.08584641,0.3174629,0.3822087,0.1212578,0.5546027
0,6.8,0.4478101,0.1250431,0.6418806,0.2080844,0.08712231,0.3221931,0.3879435,0.1230224,0.5629244
0,6.9,0.4544326,0.1268374,0.6513456,0.211161,0.08839606,0.3269076,0.3936832,0.1247892,0.5712464
0,7,0.4610639,0.1286371,0.6608825,0.2142405,0.08967316,0.3316369,0.3994318,0.1265579,0.5796431
0,7.1,0.4676949,0.1304454,0.670484,0.2173131,0.09095189,0.3363798,0.4051843,0.1283324,0.5881063
0,7.2,0.4743214,0.1322545,0.6801159,0.2203883,0.09222479,0.3411259,0.410931,0.1301095,0.5966024
0,7.3,0.4809422,0.134053,0.6897264,0.2234615,0.09349539,0.3458661,0.4166731,0.1318741,0.605077
0,7.4,0.4875581,0.1358382,0.6992909,0.2265325,0.09476068,0.3505427,0.42241,0.1336314,0.6135351
0,7.5,0.4941743,0.1376259,0.7088178,0.2296001,0.09602698,0.3552012,0.4281478,0.135395,0.6219599
0,7.6,0.5007925,0.1394128,0.7183582,0.2326684,0.09728656,0.3598405,0.4338896,0.1371553,0.6304099
0,7.7,0.5074189,0.1412008,0.7279165,0.2357357,0.09854443,0.364492,0.4396436,0.1389111,0.6388734
0,7.8,0.5140462,0.1429871,0.7374407,0.2388036,0.09980004,0.3691295,0.4453982,0.1406667,0.6473057
0,7.9,0.520678,0.1447768,0.7469312,0.2418797,0.1010544,0.3737504,0.4511533,0.1424278,0.6557084
0,8,0.5273112,0.1465622,0.7563731,0.2449595,0.1023072,0.3783581,0.4569087,0.1441833,0.6640636
0,8.1,0.5339389,0.1483515,0.7658223,0.2480399,0.1035572,0.3829757,0.4626584,0.1459418,0.6724207
