seed,rate_hz,uwb_exchanges,communication_ratio,fleet_rmse_m,worst_node_rmse_m,centroid_rmse_m,relative_shape_rmse_m,yaw_rmse_deg,runtime_s,node1_rmse_m,node2_rmse_m,node3_rmse_m,node4_rmse_m
0,0.0,0,0.0,2.1000722893673838,3.673103240313417,1.1209550986108163,1.7758838046074918,0.04236435009769716,2.646712394998758,0.9988319045678615,3.673103240313417,1.2832767870387842,1.2268099211120258
0,0.5,180,0.05,1.123460667804987,1.1772458308268632,1.119720829785578,0.09159222373719063,0.04198282099217325,2.361126409996359,1.0613945270671863,1.1174242549244933,1.1347036770180752,1.1772458308268632
0,1.0,360,0.1,1.1251418881385176,1.1446857030774986,1.1233474014287215,0.0635207379305975,0.03817464472542686,2.605712198004767,1.1055774591365004,1.1268852272468441,1.123076079973086,1.1446857030774986
0,2.0,720,0.2,1.127044346710654,1.1452643752754619,1.1255772295812132,0.05748790916989022,0.037267309454357155,2.540085075001116,1.1237422245543014,1.1223200194577834,1.1166407368588667,1.1452643752754619
0,5.0,1800,0.5,1.1286625485512665,1.1402203434504719,1.1276682971682337,0.04736412211723181,0.04380667157034624,2.40059329700307,1.1292418110631415,1.1402203434504719,1.1268954555811268,1.1181832259196558
0,10.0,3600,1.0,1.1295994103531903,1.135764349453464,1.1288262604314643,0.041786380922393056,0.049550599800027774,2.811512558000686,1.127982927313082,1.135764349453464,1.1303541599378952,1.1242653791667472
1,0.0,0,0.0,2.683813127254663,3.888774650072635,0.9268065770487,2.5187065074684125,0.0838233357418152,2.2101181000034558,1.5982517875840274,3.888774650072635,1.9636655874658786,2.697860636344467
1,0.5,180,0.05,0.9272276916413875,0.9503594603295851,0.9232486359007707,0.08580879007410615,0.086215507069857,2.393049789003271,0.9324428490759614,0.9256960851636481,0.8996992585682881,0.9503594603295851
1,1.0,360,0.1,0.9250338304426636,0.9358698236705256,0.9228751785216321,0.06315846999486478,0.08595600948799732,2.2090777050034376,0.9358698236705256,0.9237765332796105,0.9242144776727572,0.9161673094029196
1,2.0,720,0.2,0.9226596581912242,0.9299652489786567,0.9210279897033352,0.054847853527551726,0.08106787900665037,2.3050677809951594,0.9174679400826473,0.9229943225319254,0.9299652489786567,0.9201641563333065
1,5.0,1800,0.5,0.9210279938811842,0.9264186189203059,0.9199392183074984,0.04477052749954283,0.08839035001464747,2.7892215739993844,0.924839741771038,0.9150832112035557,0.9264186189203059,0.917721620745232
1,10.0,3600,1.0,0.9183662898749053,0.9298504669269777,0.9174557845575044,0.04088429723711261,0.07864278658315384,2.702245125998161,0.9115467477020803,0.9148509561329474,0.9298504669269777,0.9171122796508948
2,0.0,0,0.0,2.9339974584964437,4.129414416766775,1.2191312837321837,2.668718793632838,0.033921169171737625,2.3702503140011686,1.256221341224446,2.412373414364832,4.129414416766775,3.1596935566556237
2,0.5,180,0.05,1.2262531864646207,1.2506244720819273,1.2219000789857712,0.10323310655599818,0.039714412029972446,2.3753596890019253,1.2506244720819273,1.2229571602824474,1.2069499280315439,1.2240807140163976
2,1.0,360,0.1,1.226101213925508,1.241575546205127,1.2234460435594414,0.08064716540805235,0.04017616035524806,2.375857928003825,1.241575546205127,1.2123666537035327,1.217979353577339,1.232266327329803
2,2.0,720,0.2,1.226329047832204,1.241022469620615,1.2241792092385204,0.07258234788976332,0.04521262997734387,2.1946413469995605,1.241022469620615,1.208087385462173,1.2239408128035956,1.232026265939876
2,5.0,1800,0.5,1.222097777972707,1.2350579260538894,1.2209962988130194,0.051875015284194005,0.044521064185370295,2.358298262995959,1.2308034515592134,1.2148528434145225,1.2074681227561892,1.2350579260538894
2,10.0,3600,1.0,1.2239417623052418,1.2376349083517624,1.2227581348338494,0.053814321630085205,0.04714801942208007,2.745601506001549,1.2298587957287217,1.2183628951691734,1.2097242586359291,1.2376349083517624
3,0.0,0,0.0,2.3187166953176215,2.8322422349573237,1.4392763121848848,1.8179468667505518,0.02645848384290087,2.203043993002211,2.8322422349573237,2.6177857036543895,1.3450975247795365,2.1959287405736285
3,0.5,180,0.05,1.4450926808358076,1.4941528541005547,1.4400974121139978,0.12005123834341433,0.035244589485174886,2.416934893000871,1.4941528541005547,1.431560492320811,1.3979536449531982,1.4550047549036809
3,1.0,360,0.1,1.4428048290029576,1.4636114484381055,1.4408728312668098,0.07464086488928832,0.030450870931982156,2.288013999997929,1.4636114484381055,1.4321853818799346,1.4272588566327287,1.4478818371921056
3,2.0,720,0.2,1.4414065267933065,1.4705284781034567,1.4396016143287036,0.0721108001934109,0.03406202161741314,2.440055470004154,1.4705284781034567,1.4264881627008483,1.427241135740606,1.4409272567136528
3,5.0,1800,0.5,1.437900422031725,1.4523913581808618,1.4372916216847516,0.041837996054183146,0.05249573427859535,2.5650987420012825,1.4523913581808618,1.4384353959549208,1.4218720577716077,1.4387401782079854
